// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\obj\Release\net8.0/" /p:OutDir="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" /p:OutputPath="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" in C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c
// command took 0.76 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\obj\Release\net8.0/" /p:OutDir="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" /p:OutputPath="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" --output "C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" in C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c
// command took 3.04 sec and exited with 0
// ***** Done, took 00:00:03 (3.85 sec)   *****
// Found 4 benchmarks:
//   PQSecondTest.MyPriorityQueueAdd: DefaultJob
//   PQSecondTest.BuiltInPriorityQueueAdd: DefaultJob
//   PQSecondTest.MyPriorityQueueAddAndRemove: DefaultJob
//   PQSecondTest.BuiltInPriorityQueueAddAndRemove: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// ** Remained 0 (0,0 %) benchmark(s) to run. Estimated finish 2025-05-15 21:23 (0h 0m from now) **
Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\Algo.PriorityQueue.PQSecondTest-report.csv
  BenchmarkDotNet.Artifacts\results\Algo.PriorityQueue.PQSecondTest-report-github.md
  BenchmarkDotNet.Artifacts\results\Algo.PriorityQueue.PQSecondTest-report.html

// * Detailed results *
PQSecondTest.MyPriorityQueueAdd: DefaultJob
Runtime = .NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2; GC = Concurrent Workstation
Mean = 30.984 ms, StdErr = 0.128 ms (0.41%), N = 14, StdDev = 0.479 ms
Min = 30.105 ms, Q1 = 30.686 ms, Median = 31.146 ms, Q3 = 31.195 ms, Max = 31.971 ms
IQR = 0.508 ms, LowerFence = 29.924 ms, UpperFence = 31.957 ms
ConfidenceInterval = [30.443 ms; 31.524 ms] (CI 99.9%), Margin = 0.541 ms (1.74% of Mean)
Skewness = -0.07, Kurtosis = 2.53, MValue = 2
-------------------- Histogram --------------------
[29.844 ms ; 30.878 ms) | @@@@@
[30.878 ms ; 32.232 ms) | @@@@@@@@@
---------------------------------------------------

PQSecondTest.BuiltInPriorityQueueAdd: DefaultJob
Runtime = .NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2; GC = Concurrent Workstation
Mean = 4.756 ms, StdErr = 0.007 ms (0.15%), N = 14, StdDev = 0.026 ms
Min = 4.686 ms, Q1 = 4.750 ms, Median = 4.758 ms, Q3 = 4.766 ms, Max = 4.796 ms
IQR = 0.016 ms, LowerFence = 4.727 ms, UpperFence = 4.789 ms
ConfidenceInterval = [4.727 ms; 4.786 ms] (CI 99.9%), Margin = 0.029 ms (0.61% of Mean)
Skewness = -1.09, Kurtosis = 4.49, MValue = 2
-------------------- Histogram --------------------
[4.672 ms ; 4.805 ms) | @@@@@@@@@@@@@@
---------------------------------------------------

PQSecondTest.MyPriorityQueueAddAndRemove: DefaultJob
Runtime = .NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2; GC = Concurrent Workstation
Mean = 109.546 ms, StdErr = 0.304 ms (0.28%), N = 13, StdDev = 1.095 ms
Min = 107.551 ms, Q1 = 109.284 ms, Median = 110.033 ms, Q3 = 110.255 ms, Max = 110.623 ms
IQR = 0.971 ms, LowerFence = 107.827 ms, UpperFence = 111.711 ms
ConfidenceInterval = [108.235 ms; 110.858 ms] (CI 99.9%), Margin = 1.311 ms (1.20% of Mean)
Skewness = -0.89, Kurtosis = 2.03, MValue = 2
-------------------- Histogram --------------------
[106.940 ms ; 111.234 ms) | @@@@@@@@@@@@@
---------------------------------------------------

PQSecondTest.BuiltInPriorityQueueAddAndRemove: DefaultJob
Runtime = .NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2; GC = Concurrent Workstation
Mean = 35.657 ms, StdErr = 0.058 ms (0.16%), N = 15, StdDev = 0.224 ms
Min = 35.360 ms, Q1 = 35.475 ms, Median = 35.599 ms, Q3 = 35.811 ms, Max = 36.088 ms
IQR = 0.337 ms, LowerFence = 34.969 ms, UpperFence = 36.316 ms
ConfidenceInterval = [35.418 ms; 35.897 ms] (CI 99.9%), Margin = 0.239 ms (0.67% of Mean)
Skewness = 0.5, Kurtosis = 1.86, MValue = 2
-------------------- Histogram --------------------
[35.241 ms ; 36.207 ms) | @@@@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet v0.14.0, Windows 11 (10.0.26100.4061)
12th Gen Intel Core i7-12700H, 1 CPU, 20 logical and 14 physical cores
.NET SDK 8.0.409
  [Host]     : .NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
  DefaultJob : .NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2


| Method                           | Mean       | Error     | StdDev    |
|--------------------------------- |-----------:|----------:|----------:|
| MyPriorityQueueAdd               |  30.984 ms | 0.5406 ms | 0.4792 ms |
| BuiltInPriorityQueueAdd          |   4.756 ms | 0.0292 ms | 0.0259 ms |
| MyPriorityQueueAddAndRemove      | 109.546 ms | 1.3113 ms | 1.0950 ms |
| BuiltInPriorityQueueAddAndRemove |  35.657 ms | 0.2393 ms | 0.2239 ms |

// * Hints *
Outliers
  PQSecondTest.MyPriorityQueueAdd: Default          -> 1 outlier  was  removed (32.01 ms)
  PQSecondTest.BuiltInPriorityQueueAdd: Default     -> 1 outlier  was  removed, 2 outliers were detected (4.69 ms, 4.81 ms)
  PQSecondTest.MyPriorityQueueAddAndRemove: Default -> 2 outliers were removed, 5 outliers were detected (107.55 ms..107.97 ms, 113.76 ms, 116.54 ms)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ms   : 1 Millisecond (0.001 sec)

// ***** BenchmarkRunner: End *****
Run time: 00:01:11 (71.8 sec), executed benchmarks: 4

Global total time: 00:01:15 (75.89 sec), executed benchmarks: 4
// * Artifacts cleanup *
Artifacts cleanup is finished
